Timestamp,Process,PID,Destination IP,Port,Suspicion Score,Risk Level,Severity,Reasons,Intent Score,Protocol
2026-04-22 09:28:30,System Idle Process,0,18.235.15.99,80,90.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 50 in 60 seconds; High connection frequency baseline: 50; Beaconing pattern: 28 hits to 18.235.15.99:80; Connection burst: 16 connections in 10 seconds; Multi-destination activity: 17 unique endpoints,0.5,TCP
2026-04-22 09:28:29,System Idle Process,0,18.235.15.99,80,90.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 47 in 60 seconds; High connection frequency baseline: 47; Beaconing pattern: 25 hits to 18.235.15.99:80; Connection burst: 13 connections in 10 seconds; Multi-destination activity: 17 unique endpoints,0.5,TCP
2026-04-22 09:28:29,System Idle Process,0,18.235.15.99,80,90.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 48 in 60 seconds; High connection frequency baseline: 48; Beaconing pattern: 26 hits to 18.235.15.99:80; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 17 unique endpoints,0.5,TCP
2026-04-22 09:28:28,System Idle Process,0,18.235.15.99,80,90.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 46 in 60 seconds; High connection frequency baseline: 46; Beaconing pattern: 24 hits to 18.235.15.99:80; Connection burst: 12 connections in 10 seconds; Multi-destination activity: 17 unique endpoints,0.5,TCP
2026-04-22 09:28:27,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 41 in 60 seconds; High connection frequency baseline: 41; Beaconing pattern: 21 hits to 18.235.15.99:80; Connection burst: 9 connections in 10 seconds; Multi-destination activity: 15 unique endpoints,1.0,TCP
2026-04-22 09:28:27,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 43 in 60 seconds; High connection frequency baseline: 43; Beaconing pattern: 22 hits to 18.235.15.99:80; Connection burst: 11 connections in 10 seconds; Multi-destination activity: 16 unique endpoints,1.0,TCP
2026-04-22 09:28:27,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 45 in 60 seconds; High connection frequency baseline: 45; Beaconing pattern: 23 hits to 18.235.15.99:80; Connection burst: 13 connections in 10 seconds; Multi-destination activity: 17 unique endpoints,1.0,TCP
2026-04-22 09:28:26,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 39 in 60 seconds; High connection frequency baseline: 39; Beaconing pattern: 20 hits to 18.235.15.99:80; Connection burst: 7 connections in 10 seconds; Multi-destination activity: 14 unique endpoints,1.0,TCP
2026-04-22 09:28:25,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 38 in 60 seconds; High connection frequency baseline: 38; Beaconing pattern: 19 hits to 18.235.15.99:80; Connection burst: 6 connections in 10 seconds; Multi-destination activity: 14 unique endpoints,1.0,TCP
2026-04-22 09:28:24,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 37 in 60 seconds; High connection frequency baseline: 37; Beaconing pattern: 18 hits to 18.235.15.99:80; Connection burst: 6 connections in 10 seconds; Multi-destination activity: 14 unique endpoints,1.0,TCP
2026-04-22 09:28:22,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 35 in 60 seconds; High connection frequency baseline: 35; Beaconing pattern: 17 hits to 18.235.15.99:80; Connection burst: 10 connections in 10 seconds; Multi-destination activity: 13 unique endpoints,1.0,TCP
2026-04-22 09:28:19,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 34 in 60 seconds; High connection frequency baseline: 34; Beaconing pattern: 16 hits to 18.235.15.99:80; Connection burst: 16 connections in 10 seconds; Multi-destination activity: 13 unique endpoints,1.0,TCP
2026-04-22 09:28:16,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 32 in 60 seconds; High connection frequency baseline: 32; Beaconing pattern: 15 hits to 18.235.15.99:80; Connection burst: 20 connections in 10 seconds; Multi-destination activity: 13 unique endpoints,1.0,TCP
2026-04-22 09:28:15,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 31 in 60 seconds; High connection frequency baseline: 31; Beaconing pattern: 14 hits to 18.235.15.99:80; Connection burst: 22 connections in 10 seconds; Multi-destination activity: 13 unique endpoints,1.0,TCP
2026-04-22 09:28:14,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 28 in 60 seconds; High connection frequency baseline: 28; Beaconing pattern: 12 hits to 18.235.15.99:80; Connection burst: 19 connections in 10 seconds; Multi-destination activity: 12 unique endpoints,1.0,TCP
2026-04-22 09:28:14,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 29 in 60 seconds; High connection frequency baseline: 29; Beaconing pattern: 13 hits to 18.235.15.99:80; Connection burst: 20 connections in 10 seconds; Multi-destination activity: 12 unique endpoints,1.0,TCP
2026-04-22 09:28:13,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 27 in 60 seconds; High connection frequency baseline: 27; Beaconing pattern: 11 hits to 18.235.15.99:80; Connection burst: 18 connections in 10 seconds; Multi-destination activity: 12 unique endpoints,1.0,TCP
2026-04-22 09:28:12,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 24 in 60 seconds; High connection frequency baseline: 24; Beaconing pattern: 9 hits to 18.235.15.99:80; Connection burst: 15 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:28:12,System Idle Process,0,18.235.15.99,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 25 in 60 seconds; High connection frequency baseline: 25; Beaconing pattern: 10 hits to 18.235.15.99:80; Connection burst: 16 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:28:11,System Idle Process,0,18.235.15.99,80,80.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 22 in 60 seconds; High connection frequency baseline: 22; Repeated destination: 7 hits to 18.235.15.99:80; Connection burst: 13 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:28:11,System Idle Process,0,18.235.15.99,80,80.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 23 in 60 seconds; High connection frequency baseline: 23; Repeated destination: 8 hits to 18.235.15.99:80; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
